,water2,water3,xtilt,ytilt
0,26.39,26.85,-5.378614141404487,-1.2518337488231837
1,25.92,26.7,-5.3784465803644075,-1.2534317610192318
2,25.85,26.6,-5.358684818081192,-1.2558906819877622
3,25.91,26.57,-5.36190286292703,-1.2550805532762819
4,25.94,26.55,-5.362574830510604,-1.2540078154659848
5,25.94,26.52,-5.361731703968807,-1.2553665139428676
6,25.51,26.4,-5.36067027374867,-1.2520350179139903
7,25.5,26.39,-5.360807697848429,-1.2526275423860735
8,25.48,26.39,-5.360176550830403,-1.2530556928860137
9,25.47,26.39,-5.360158831848475,-1.2537187626963089
10,25.45,26.38,-5.360284674217978,-1.2550579434192002
11,25.43,26.38,-5.359720636329258,-1.2541826440823016
12,25.42,26.38,-5.35974688293775,-1.254444842272868
13,25.41,26.37,-5.359611765310672,-1.2539287017564689
14,25.0,26.15,-5.361515876451537,-1.2553073248555422
15,24.99,26.15,-5.35984977036862,-1.2553498653112336
16,24.98,26.15,-5.360227304153119,-1.2556204930058266
17,24.93,26.04,-5.36126478913845,-1.255652915957718
18,24.95,25.99,-5.361806834412324,-1.2560458305654325
19,24.96,25.97,-5.3619363876127535,-1.25676785539924
20,24.81,25.89,-5.361639880864082,-1.2356560977916593
21,24.8,25.9,-5.361170589431552,-1.2369839989499798
22,24.78,25.9,-5.36179542330789,-1.2371842162872466
23,24.76,25.89,-5.362235951344288,-1.2387013484796179
24,24.76,25.89,-5.363008308213208,-1.239698333139054
25,24.74,25.89,-5.362435458559481,-1.2395670387267204
26,24.73,25.88,-5.3443884868373965,-1.2385409527881963
27,24.72,25.88,-5.361452624866892,-1.2565106019185164
28,24.7,25.88,-5.34317369644678,-1.2382420083213102
29,24.69,25.87,-5.343584596747497,-1.2397153204800913
30,24.68,25.87,-5.342579193901648,-1.2388982175559375
31,24.68,25.86,-5.362117266123341,-1.2392259024116847
32,24.66,25.87,-5.362442445302851,-1.2375547780292757
33,24.64,25.86,-5.361931887391677,-1.2384518900038324
34,24.64,25.85,-5.36140745396452,-1.2383109172024316
35,24.63,25.85,-5.361192803532332,-1.2387609107476867
36,24.61,25.85,-5.343199599757767,-1.2389432489539312
37,24.61,25.84,-5.342415246167918,-1.2391137968962471
38,24.58,25.84,-5.3611081572623185,-1.2370912281325193
39,24.58,25.84,-5.342804700759375,-1.2387935725969001
40,24.56,25.83,-5.3616071722405785,-1.2387206022013113
41,24.55,25.83,-5.362511014243882,-1.2399676293643096
42,24.54,25.82,-5.361278489703446,-1.2392072717506124
43,24.53,25.82,-5.343349897838839,-1.240071461748405
44,24.52,25.82,-5.342776977210855,-1.2370025430915237
45,24.51,25.81,-5.3619700577392315,-1.2407085571333714
46,24.5,25.81,-5.361685862281413,-1.239766460173878
47,24.48,25.8,-5.343503687700715,-1.2407273185899605
48,24.47,25.8,-5.343276610791126,-1.2404506307668524
49,24.45,25.79,-5.3614206680525,-1.2397700135783603
50,24.43,25.79,-5.341810161649913,-1.2379278525961535
51,24.43,25.78,-5.343228604386845,-1.240080432709088
52,24.41,25.78,-5.361491858865723,-1.2399669945769387
53,24.4,25.77,-5.361891741978415,-1.2393271179052188
54,24.39,25.77,-5.362322719998637,-1.2395237449981404
55,24.38,25.76,-5.342491373738035,-1.2397687190060585
56,24.36,25.76,-5.361336509295063,-1.2391484082862558
57,24.33,25.76,-5.342501355377257,-1.238955070186413
58,24.33,25.75,-5.342515538684961,-1.2390475911999264
59,24.31,25.74,-5.3428519979948845,-1.2407200939283212
60,24.31,25.75,-5.3427251599937815,-1.2395133898526922
61,24.29,25.74,-5.341793714605928,-1.2392139976263743
62,24.27,25.73,-5.341503802680519,-1.23733766721576
63,24.26,25.73,-5.342609446832802,-1.2402507924448105
64,24.25,25.72,-5.342509933485707,-1.2394883380651422
65,24.24,25.71,-5.342949656663201,-1.239815803045561
66,24.22,25.72,-5.361440540899638,-1.24044666089306
67,24.22,25.71,-5.343145340797433,-1.2408001209780966
68,24.2,25.7,-5.361016521108542,-1.2390640751492923
69,24.19,25.7,-5.341802861771481,-1.239473828506202
70,24.17,25.69,-5.341996223957724,-1.239394811186796
71,24.17,25.69,-5.342824791073314,-1.2400104943098982
72,24.15,25.69,-5.342606783047371,-1.2402397282660276
73,24.14,25.68,-5.342156153435173,-1.2397239118381196
74,24.12,25.68,-5.361021042583861,-1.2403784281947126
75,24.12,25.67,-5.342811891735827,-1.2399119286511207
76,24.1,25.66,-5.341774124995713,-1.2391301808583133
77,24.09,25.65,-5.341107349286332,-1.2390160676766355
78,24.08,25.65,-5.342347519702634,-1.2398908963879038
79,24.07,25.65,-5.34320041939122,-1.2391711523144613
80,24.05,25.65,-5.360375575039496,-1.2389012157018207
81,24.04,25.64,-5.36180650911352,-1.2397546208094585
82,24.03,25.64,-5.361574213854425,-1.2404178506971284
83,24.02,25.64,-5.343131968374084,-1.2408903500705577
84,24.01,25.63,-5.34268243419601,-1.2392993522598312
85,23.75,25.47,-5.360664835155539,-1.2392537487771997
86,23.74,25.46,-5.341583705082468,-1.2397954794913917
87,23.74,25.47,-5.343024766274752,-1.2399246675424402
88,23.74,25.46,-5.344138644309363,-1.2398104746493184
89,23.73,25.46,-5.343552459764357,-1.240282276498054
90,23.73,25.46,-5.344180859552562,-1.2399598739717275
91,23.73,25.45,-5.343798155094164,-1.240096252054211
92,23.72,25.45,-5.342583348787081,-1.2401173754890382
93,23.7,25.39,-5.342364557802031,-1.24185219405931
94,23.69,25.36,-5.3433122325841,-1.2416534699540012
95,23.75,25.33,-5.342917584852324,-1.2407740261176032
96,22.29,24.83,-5.4139745802304695,-1.2527936275408706
97,22.28,24.83,-5.4147523663406645,-1.253310635541422
98,22.27,24.82,-5.416922302024775,-1.2524368955035505
99,22.25,24.81,-5.416746741833002,-1.2525508805909973
100,22.23,24.81,-5.417687564089327,-1.2525162689920433
101,22.23,24.82,-5.418849201761218,-1.2527474048547014
102,22.21,24.82,-5.419575102606909,-1.2545019306934473
103,22.2,24.8,-5.4209595235600565,-1.253252626709445
104,22.19,24.8,-5.424090643241987,-1.2526738655925655
